BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/4079,07/02/2023,116081,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,5,3340,103540,MH12DT4799,VEDANT PACKER PVT. LTD.
KPM/2022-23/4080,07/02/2023,120549,Local,BIYANI PACKAGING PRIVATE LIMITED,SANKAT MOCHAN ROADLINES,PM3 GODOWN,7,3525,107430,MH20EG9189,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/4081,07/02/2023,167198,Local,BIYANI PACKAGING PRIVATE LIMITED,SANKAT MOCHAN ROADLINES,PM3 GODOWN,8,5138,149002,MH20EG9189,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/4082,07/02/2023,61861,Local,BIYANI PACKAGING PRIVATE LIMITED,SANKAT MOCHAN ROADLINES,PM2 GODOWN,4,1901,55129,MH20EG9189,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/4083,07/02/2023,750102,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,SANKAT MOCHAN ROADLINES,PM2 GODOWN,14,21391,668468.75,KA560764,KEDAR PAPER CONVERSION
KPM/2022-23/4084,07/02/2023,444619,Local,AVADHOOT PAPER PRODUCTS PVT LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,13,13457,396981.5,MH12HD7886,AVADHOOT PAPER PRODUCTS PVT LTD.
EXP/2022-23/0366,08/02/2023,9270.35,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25055,9270.35,MH46AR4308,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0367,08/02/2023,9203.01,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,24873,9203.01,MH46AF1562,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0368,08/02/2023,9495.31,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25663,9495.31,MH46AF8567,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/4085,08/02/2023,257761,Local,GOPALA KRAFT PACK PVT LTD. - CTC,PARTY TRANSPORT,PM2 GODOWN,13,8456,229913.4,MH04GC0853,CONTINENTAL TRADE CORPORATION
KPM/2022-23/4086,08/02/2023,486025,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,11,14439,425950.5,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4087,08/02/2023,352908,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,15,11056,315096,MH20BT2012,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4088,08/02/2023,30092,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,2,977,26867.5,MH20BT2012,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4089,08/02/2023,138820,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,4349,123946.5,MH20BT2012,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4090,08/02/2023,42580,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,2,1370,38017.5,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/4091,08/02/2023,233808,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL ROADWAYS,PM3 GODOWN,11,7369,208757.25,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/4092,08/02/2023,390693,Local,K B Industries - SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,19,11063,348484.5,MH17AG2736,S PAPERS
KPM/2022-23/4093,08/02/2023,384466,Local,OM SAI GANESH ENTERPRISES -KOLHAPUR,SHREE SAI TRANSPORT,PM3 GODOWN,24,9940,342930,MH08AP4008,OM SAI GANESH ENTERPRISES
KPM/2022-23/4094,08/02/2023,89734,Local,AKANKSHA PLAST-N-PRINT PVT  LTD,PARTY TRANSPORT,PM2 GODOWN,4,2668,80040,MH18AA7437,AKANKSHA PLAST-N-PRINT PVT  LTD
KPM/2022-23/4095,08/02/2023,138461,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,6,4455,123626.25,MH20AT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/4096,08/02/2023,103714,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,5,3337,92601.75,MH20AT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/4098,08/02/2023,736041,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,SANKAT MOCHAN ROADLINES,PM2 GODOWN,14,20990,655937.5,KA560676,KEDAR PAPER CONVERSION
KPM/2022-23/4099,08/02/2023,113702,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,3,3384,101520,MH46BU5867,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4100,08/02/2023,156612,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,7,4994,139832,MH46BU5867,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4101,08/02/2023,57232,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,2,1825,51100,MH46BB4908,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4102,08/02/2023,249782,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,9,7434,223020,MH46BB4908,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4103,08/02/2023,771387,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,CENTRAL INDIA TRANSPORT AGENCY,PM2 GODOWN,14,21998,687437.5,MH25AJ4650,KEDAR PAPER CONVERSION
EXP/2022-23/0369,09/02/2023,9736.92,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,25,26316,9736.92,MH46AF8248,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0370,09/02/2023,9910.82,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26786,9910.82,MH46AF2499,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/4104,09/02/2023,774823,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,CENTRAL INDIA TRANSPORT AGENCY,PM2 GODOWN,14,22096,690500,MH25AJ7747,KEDAR PAPER CONVERSION
KPM/2022-23/4105,09/02/2023,309221,Local,KIARA PACKAGING INDUSTRIES PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,16,9203,276090,MH20BT2012,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4106,09/02/2023,234192,Local,KIARA PACKAGING INDUSTRIES PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,12,6970,209100,MH20BT2012,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4107,09/02/2023,358715,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,10,11273,320281.5,MH20DE1939,ALIGN COMPONENTS PVT. LTD.
KPM/2022-23/4108,09/02/2023,460410,Local,KIARA PACKAGING INDUSTRIES PVT. LTD.,SELF TRANSPORTER,PM3 GODOWN,24,13434,403020,MH43E7187,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4109,09/02/2023,35643,Local,KIARA PACKAGING INDUSTRIES PVT. LTD.,SELF TRANSPORTER,PM2 GODOWN,2,1040,31200,MH43E7187,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4110,09/02/2023,430308,Local,FRIGORIFICO ALLANA PVT LTD.-SE,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,18,12044,384203.6,MH20AT9122,SHRINIWAS ENTERPRISES
KPM/2022-23/4111,09/02/2023,162027,Local,ARIHANT PACKAGING - VPPL,PARTY TRANSPORT,PM3 GODOWN,11,4662,144522,MH16CC9682,VEDANT PACKER PVT. LTD.
